catalogName,sourceFolderKey,originalFileName,influencerKey,visualGroup,reactionType,durationSeconds,width,height,hasAudio,sha256,reviewStatus,reviewReason
creator-001-concern-anxiety-d780bfcbc2,first,0caf-bb90-4026-95a0-1ffd9e77ba78.mp4,creator_001,indoor_selfie_closeup,concern_anxiety,3.542,720,1280,false,d780bfcbc2cc72adb71fc0442d2070b8a0b5969427d66cbfe25d4f0189d41512,approved,"Approved: the clip provides a usable concern, worry, stress, embarrassment, or anxious realization."
creator-001-focused-attention-dab0bd786f,first,3908-89a0-4a32-8094-0b181fb857c3.mp4,creator_001,desk_laptop_reaction,focused_attention,2.75,720,1280,false,dab0bd786fd492c1fc2050cc98cd4aef9c6b15dd1d5f4d0b008920939aaae5b6,approved,Approved as a lower-intensity Hook: putting on headphones and beginning focused laptop work provides clear movement.
creator-001-secret-reveal-b46d0ccb58,first,3e10-a088-47b1-9dbe-8ce491f358d6.mp4,creator_001,indoor_selfie_closeup,secret_reveal,2.875,720,1280,false,b46d0ccb583fc51fa4945a032d8b077a20f8d089db57dd4ec23fe81d0b241b66,approved,"Approved: the clip provides a usable shh, secrecy, concealed information, or a reveal gesture."
creator-001-shock-surprise-8468bd9c46,first,4bc4-ec37-4623-9f68-23b6f76fd229.mp4,creator_001,indoor_selfie_closeup,shock_surprise,3.042,720,1280,false,8468bd9c461885a66f96eb432477cffbf64d4e9eccf3710e2c16635c23174226,approved,"Approved: the clip provides a usable clear shock, surprise, disbelief, or startled realization."
creator-001-amusement-laughter-bb8ccd5c9c,first,69ff-576f-4330-a4fd-064470910d24.mp4,creator_001,indoor_selfie_closeup,amusement_laughter,2.458,720,1280,false,bb8ccd5c9c662fbc04880ab81d3ec3d0fe765d5872b4f538cb98b0ed1f5a9b8a,approved,"Approved: the clip provides a usable positive amusement, laughter, or delighted surprise."
creator-001-amusement-laughter-b6377b1921,first,6cc5-d213-43b7-8b77-dfd73f71a791.mp4,creator_001,indoor_selfie_closeup,amusement_laughter,1.958,720,1280,false,b6377b19216d84d642263217241d232163ca333829b47ab85fdeb60c26644c5a,approved,"Approved: the clip provides a usable positive amusement, laughter, or delighted surprise."
creator-001-shock-surprise-754de87965,first,765d-c495-4e73-8820-b01ff46e3ee5.mp4,creator_001,indoor_selfie_closeup,shock_surprise,2.542,720,1280,false,754de87965a8b1807deef437e56b352787214d1be2aca03da34766b13ad0764e,approved,"Approved: the clip provides a usable clear shock, surprise, disbelief, or startled realization."
creator-001-confusion-skepticism-e625ed93eb,first,81ef-5314-4d59-a07f-277c53abfc9e.mp4,creator_001,indoor_selfie_medium,confusion_skepticism,2.042,720,1280,false,e625ed93eb8e8e5bb416a277b149d2c3cee15ca9caeeb983336b40ddf0bd62dc,approved,"Approved: the clip provides a usable confusion, doubt, skepticism, or questioning disbelief."
creator-001-confusion-skepticism-200d17b564,first,8c14-58c7-4c4e-a64a-0a743ad20643.mp4,creator_001,desk_laptop_reaction,confusion_skepticism,2.958,720,1280,false,200d17b564a6e394bdb1dbf008ff988dc9b46b988dd6745a405e16e518579e47,approved,"Approved: the clip provides a usable confusion, doubt, skepticism, or questioning disbelief."
creator-001-shock-surprise-c49650d7d4,first,93df-ada7-4a1a-a096-f59a17b2d615.mp4,creator_001,indoor_selfie_closeup,shock_surprise,2.458,720,1280,false,c49650d7d4d814fe8f7c950b02c8458ba00e39a59c34e04e23f7016db60f925c,approved,"Approved: the clip provides a usable clear shock, surprise, disbelief, or startled realization."
